valor_adj_,valor_adj_ift,valor_thr,valor_similarity
35.000000,5.000000,1,0.898278
35.000000,5.000000,1,0.950192
35.000000,5.000000,1,0.912951
35.000000,5.000000,1,0.882884
35.000000,5.000000,1,0.838477
35.000000,5.000000,1,0.885152
35.000000,5.000000,1,0.771136
35.000000,5.000000,1,0.891026
35.000000,5.000000,1,0.855357
35.000000,5.000000,1,0.877455
35.000000,5.000000,2,0.946129
35.000000,5.000000,2,0.934157
35.000000,5.000000,2,0.758419
35.000000,5.000000,2,0.798224
35.000000,5.000000,2,0.742522
35.000000,5.000000,2,0.840023
35.000000,5.000000,2,0.622359
35.000000,5.000000,2,0.838568
35.000000,5.000000,2,0.860974
35.000000,5.000000,2,0.841465
35.000000,5.000000,4,0.963451
35.000000,5.000000,4,0.838030
35.000000,5.000000,4,0.692232
35.000000,5.000000,4,0.769261
35.000000,5.000000,4,0.709774
35.000000,5.000000,4,0.672946
35.000000,5.000000,4,0.480598
35.000000,5.000000,4,0.759881
35.000000,5.000000,4,0.814544
35.000000,5.000000,4,0.792676
35.000000,5.000000,6,0.961082
35.000000,5.000000,6,0.803105
35.000000,5.000000,6,0.661116
35.000000,5.000000,6,0.754327
35.000000,5.000000,6,0.675599
35.000000,5.000000,6,0.628669
35.000000,5.000000,6,0.430771
35.000000,5.000000,6,0.734069
35.000000,5.000000,6,0.809740
35.000000,5.000000,6,0.785942
35.000000,5.000000,8,0.795661
35.000000,5.000000,8,0.763138
35.000000,5.000000,8,0.645058
35.000000,5.000000,8,0.686623
35.000000,5.000000,8,0.644880
35.000000,5.000000,8,0.607048
35.000000,5.000000,8,0.399796
35.000000,5.000000,8,0.718677
35.000000,5.000000,8,0.806341
35.000000,5.000000,8,0.777481
35.000000,5.000000,10,0.768147
35.000000,5.000000,10,0.754885
35.000000,5.000000,10,0.636354
35.000000,5.000000,10,0.658649
35.000000,5.000000,10,0.629527
35.000000,5.000000,10,0.593742
35.000000,5.000000,10,0.374770
35.000000,5.000000,10,0.713450
35.000000,5.000000,10,0.793123
35.000000,5.000000,10,0.668601
35.000000,7.000000,1,0.948157
35.000000,7.000000,1,0.908590
35.000000,7.000000,1,0.841050
35.000000,7.000000,1,0.803961
35.000000,7.000000,1,0.722031
35.000000,7.000000,1,0.809815
35.000000,7.000000,1,0.627712
35.000000,7.000000,1,0.816661
35.000000,7.000000,1,0.827114
35.000000,7.000000,1,0.836772
35.000000,7.000000,2,0.964593
35.000000,7.000000,2,0.894074
35.000000,7.000000,2,0.771689
35.000000,7.000000,2,0.776442
35.000000,7.000000,2,0.705734
35.000000,7.000000,2,0.652570
35.000000,7.000000,2,0.466350
35.000000,7.000000,2,0.797796
35.000000,7.000000,2,0.816359
35.000000,7.000000,2,0.797879
35.000000,7.000000,4,0.960256
35.000000,7.000000,4,0.840287
35.000000,7.000000,4,0.713084
35.000000,7.000000,4,0.729137
35.000000,7.000000,4,0.673104
35.000000,7.000000,4,0.624186
35.000000,7.000000,4,0.440587
35.000000,7.000000,4,0.752898
35.000000,7.000000,4,0.801637
35.000000,7.000000,4,0.760212
35.000000,7.000000,6,0.952645
35.000000,7.000000,6,0.758279
35.000000,7.000000,6,0.671360
35.000000,7.000000,6,0.706341
35.000000,7.000000,6,0.621597
35.000000,7.000000,6,0.603164
35.000000,7.000000,6,0.424989
35.000000,7.000000,6,0.722469
35.000000,7.000000,6,0.794708
35.000000,7.000000,6,0.741109
35.000000,7.000000,8,0.793972
35.000000,7.000000,8,0.734390
35.000000,7.000000,8,0.644085
35.000000,7.000000,8,0.683185
35.000000,7.000000,8,0.603526
35.000000,7.000000,8,0.589857
35.000000,7.000000,8,0.408233
35.000000,7.000000,8,0.715501
35.000000,7.000000,8,0.784446
35.000000,7.000000,8,0.710705
35.000000,7.000000,10,0.764517
35.000000,7.000000,10,0.724882
35.000000,7.000000,10,0.639500
35.000000,7.000000,10,0.667597
35.000000,7.000000,10,0.591144
35.000000,7.000000,10,0.585869
35.000000,7.000000,10,0.382539
35.000000,7.000000,10,0.712324
35.000000,7.000000,10,0.751685
35.000000,7.000000,10,0.673033
