valor_adj_,valor_adj_ift,valor_thr,valor_similarity
25.000000,5.000000,1,0.905998
25.000000,5.000000,1,0.944696
25.000000,5.000000,1,0.903286
25.000000,5.000000,1,0.857248
25.000000,5.000000,1,0.830899
25.000000,5.000000,1,0.863965
25.000000,5.000000,1,0.851375
25.000000,5.000000,1,0.847195
25.000000,5.000000,1,0.833450
25.000000,5.000000,1,0.846245
25.000000,5.000000,2,0.937762
25.000000,5.000000,2,0.928684
25.000000,5.000000,2,0.760825
25.000000,5.000000,2,0.798336
25.000000,5.000000,2,0.778090
25.000000,5.000000,2,0.827115
25.000000,5.000000,2,0.714192
25.000000,5.000000,2,0.819912
25.000000,5.000000,2,0.844776
25.000000,5.000000,2,0.837325
25.000000,5.000000,4,0.955978
25.000000,5.000000,4,0.887263
25.000000,5.000000,4,0.718241
25.000000,5.000000,4,0.769316
25.000000,5.000000,4,0.731552
25.000000,5.000000,4,0.680855
25.000000,5.000000,4,0.621549
25.000000,5.000000,4,0.783652
25.000000,5.000000,4,0.826471
25.000000,5.000000,4,0.787995
25.000000,5.000000,6,0.960477
25.000000,5.000000,6,0.886084
25.000000,5.000000,6,0.682774
25.000000,5.000000,6,0.756557
25.000000,5.000000,6,0.662197
25.000000,5.000000,6,0.626580
25.000000,5.000000,6,0.504045
25.000000,5.000000,6,0.759730
25.000000,5.000000,6,0.820992
25.000000,5.000000,6,0.781766
25.000000,5.000000,8,0.952310
25.000000,5.000000,8,0.856310
25.000000,5.000000,8,0.665894
25.000000,5.000000,8,0.680954
25.000000,5.000000,8,0.628768
25.000000,5.000000,8,0.605948
25.000000,5.000000,8,0.495596
25.000000,5.000000,8,0.736790
25.000000,5.000000,8,0.813213
25.000000,5.000000,8,0.772255
25.000000,5.000000,10,0.947990
25.000000,5.000000,10,0.833372
25.000000,5.000000,10,0.651833
25.000000,5.000000,10,0.658370
25.000000,5.000000,10,0.608715
25.000000,5.000000,10,0.592032
25.000000,5.000000,10,0.476062
25.000000,5.000000,10,0.718383
25.000000,5.000000,10,0.808838
25.000000,5.000000,10,0.760887
25.000000,7.000000,1,0.941771
25.000000,7.000000,1,0.903932
25.000000,7.000000,1,0.840044
25.000000,7.000000,1,0.803961
25.000000,7.000000,1,0.739139
25.000000,7.000000,1,0.804114
25.000000,7.000000,1,0.671404
25.000000,7.000000,1,0.820238
25.000000,7.000000,1,0.830933
25.000000,7.000000,1,0.827563
25.000000,7.000000,2,0.959177
25.000000,7.000000,2,0.900299
25.000000,7.000000,2,0.771710
25.000000,7.000000,2,0.776016
25.000000,7.000000,2,0.710404
25.000000,7.000000,2,0.706197
25.000000,7.000000,2,0.568428
25.000000,7.000000,2,0.801272
25.000000,7.000000,2,0.816360
25.000000,7.000000,2,0.795607
25.000000,7.000000,4,0.959791
25.000000,7.000000,4,0.885412
25.000000,7.000000,4,0.712761
25.000000,7.000000,4,0.754629
25.000000,7.000000,4,0.686519
25.000000,7.000000,4,0.628353
25.000000,7.000000,4,0.485936
25.000000,7.000000,4,0.786118
25.000000,7.000000,4,0.807749
25.000000,7.000000,4,0.771463
25.000000,7.000000,6,0.934740
25.000000,7.000000,6,0.880640
25.000000,7.000000,6,0.671360
25.000000,7.000000,6,0.733093
25.000000,7.000000,6,0.652991
25.000000,7.000000,6,0.606475
25.000000,7.000000,6,0.445962
25.000000,7.000000,6,0.736306
25.000000,7.000000,6,0.802724
25.000000,7.000000,6,0.754072
25.000000,7.000000,8,0.885024
25.000000,7.000000,8,0.791203
25.000000,7.000000,8,0.645459
25.000000,7.000000,8,0.719258
25.000000,7.000000,8,0.635156
25.000000,7.000000,8,0.594455
25.000000,7.000000,8,0.427865
25.000000,7.000000,8,0.718675
25.000000,7.000000,8,0.794888
25.000000,7.000000,8,0.744083
25.000000,7.000000,10,0.793007
25.000000,7.000000,10,0.760386
25.000000,7.000000,10,0.636632
25.000000,7.000000,10,0.690403
25.000000,7.000000,10,0.622913
25.000000,7.000000,10,0.583146
25.000000,7.000000,10,0.419374
25.000000,7.000000,10,0.713510
25.000000,7.000000,10,0.789963
25.000000,7.000000,10,0.731715
